交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,净损益 %,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %
1,多头出场,2026-03-02 13:30,离场信号,48.59,46915,1999986.45,277901.56,13.89,390471.1,19.52,-29887.29,-1.49,277901.56,13.90
1,多头进场,2026-02-06 11:30,进场,42.63,46915,1999986.45,277901.56,13.89,390471.1,19.52,-29887.29,-1.49,277901.56,13.90
2,多头出场,2026-03-18 09:30,离场信号,42.2,44052,1999960.8,-142509.98,-7.12,96554.94,4.83,-165994.98,-8.30,135391.58,6.77
2,多头进场,2026-03-11 13:30,进场,45.4,44052,1999960.8,-142509.98,-7.12,96554.94,4.83,-165994.98,-8.30,135391.58,6.77
3,多头出场,2026-04-14 13:30,离场信号,61.11,48297,1999978.77,949470.3,47.46,1119207.5,55.94,-41369.47,-2.07,1084861.9,54.24
3,多头进场,2026-03-26 09:30,进场,41.41,48297,1999978.77,949470.3,47.46,1119207.5,55.94,-41369.47,-2.07,1084861.9,54.24
4,多头出场,2026-04-22 11:30,离场信号,68.71,29598,1999936.86,32128.27,1.61,191587.03,9.58,-121263.84,-6.06,1116990.2,55.85
4,多头进场,2026-04-20 13:30,进场,67.57,29598,1999936.86,32128.27,1.61,191587.03,9.58,-121263.84,-6.06,1116990.2,55.85
5,多头出场,2026-05-06 11:30,离场信号,77.77,25819,1999939.74,6400.74,0.32,255840.89,12.79,-49081.51,-2.45,1123390.9,56.17
5,多头进场,2026-04-29 09:30,进场,77.46,25819,1999939.74,6400.74,0.32,255840.89,12.79,-49081.51,-2.45,1123390.9,56.17
6,多头出场,2026-05-19 09:30,离场信号,126.2,21445,1999960.7,704515.75,35.21,1237219.9,61.84,-799.98,-0.04,1827906.8,91.40
6,多头进场,2026-05-11 09:30,进场,93.26,21445,1999960.7,704515.75,35.21,1237219.9,61.84,-799.98,-0.04,1827906.8,91.40
7,多头出场,2026-06-03 11:30,离场信号,184.05,12738,1999866,342825.2,17.14,570881.5,28.53,-78246.98,-3.91,2170732,108.54
7,多头进场,2026-05-27 09:30,进场,157,12738,1999866,342825.2,17.14,570881.5,28.53,-78246.98,-3.91,2170732,108.54
8,多头出场,2026-06-15 09:30,离场信号,306.5,9124,1999889.56,794697.9,39.72,1190885.6,59.52,-799.96,-0.04,2965429.8,148.27
8,多头进场,2026-06-04 09:30,进场,219.19,9124,1999889.56,794697.9,39.72,1190885.6,59.52,-799.96,-0.04,2965429.8,148.27
9,多头出场,2026-06-16 13:30,离场信号,323,5634,1999844.64,-181590.48,-9.08,54525.94,2.73,-203849.3,-10.19,2783839.2,139.19
9,多头进场,2026-06-16 09:30,进场,354.96,5634,1999844.64,-181590.48,-9.08,54525.94,2.73,-203849.3,-10.19,2783839.2,139.19
10,多头出场,2026-06-22 13:30,开盘价,389.99,5141,1999849,3487.68,0.17,24905.06,1.24,-98478.94,-4.92,2786527,139.33
10,多头进场,2026-06-22 09:30,进场,389,5141,1999849,3487.68,0.17,24905.06,1.24,-98478.94,-4.92,2786527,139.33