交易 #,类型,日期和时间,信号,价格 USD,Size (qty),Size (value),净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
1,多头出场,2026-02-17 23:30,趋势走弱离场,57.95,16294,1001103.36,-57644.19,-5.76,11657.12,1.16,-72256.98,-7.21,-57644.19,-5.76
1,多头进场,2026-02-13 23:30,趋势入场,61.44,16294,1001103.36,-57644.19,-5.76,11657.12,1.16,-72256.98,-7.21,-57644.19,-5.76
2,多头出场,2026-02-23 23:30,趋势走弱离场,61.53,15590,999630.8,-41161.65,-4.12,5680.25,0.57,-45922.65,-4.59,-98805.85,-9.88
2,多头进场,2026-02-21 00:30,趋势入场,64.12,15590,999630.8,-41161.65,-4.12,5680.25,0.57,-45922.65,-4.59,-98805.85,-9.88
3,多头出场,2026-02-25 04:30,趋势走弱离场,61.55,16079,998988.27,-10121.28,-1.01,2333.83,0.23,-13423.58,-1.34,-108927.13,-10.89
3,多头进场,2026-02-25 03:30,趋势入场,62.13,16079,998988.27,-10121.28,-1.01,2333.83,0.23,-13423.58,-1.34,-108927.13,-10.89
4,多头出场,2026-03-06 02:30,趋势走弱离场,103.96,13708,999998.6,424115.06,42.39,508852.2,50.86,-400,-0.04,315187.9,31.52
4,多头进场,2026-02-25 23:30,趋势入场,72.95,13708,999998.6,424115.06,42.39,508852.2,50.86,-400,-0.04,315187.9,31.52
5,多头出场,2026-03-11 23:30,趋势走弱离场,113.2,9121,1000391.28,31292.76,3.13,124648.75,12.46,-13534.4,-1.35,346480.7,34.65
5,多头进场,2026-03-10 00:30,趋势入场,109.68,9121,1000391.28,31292.76,3.13,124648.75,12.46,-13534.4,-1.35,346480.7,34.65
6,多头出场,2026-03-19 22:30,趋势走弱离场,123.97,8104,1000519.84,3330.97,0.33,106410.52,10.63,-12232.05,-1.22,349811.66,34.98
6,多头进场,2026-03-16 22:30,趋势入场,123.46,8104,1000519.84,3330.97,0.33,106410.52,10.63,-12232.05,-1.22,349811.66,34.98